@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
0.383,-1.1211,92.0247,5.2607e-07,?,13.8,2.2,8.54,201,1,1.024,1,0.0386268,'299787',0.11443306109868,0.392211084021255,0.621728733647615,0.550328481243923,0.919628980569541,0.250396119896322,0.404222251614556,0.827967719873413
0.836,-1.4067,122.638,4.4072e-06,7.481e-05,48.1,51,10.03,201,1,0.512,1,0.128738,'271019',0.371370539767668,0.70306295179762,0.605809368658811,0.699842016445473,0.072354675270617,0.902509434847161,0.667646223912016,0.977232765872031
2.198,-0.992,?,2.6587e-06,3.18e-05,60,4.56,22.78,1485,1,1.024,1,0.0602667,'156467',0.820286081871018,0.182954703224823,0.0171650291886181,0.831763526657596,0.996513930615038,0.569381718989462,0.957631352124736,0.0583583766128868
1.23,-1.7095,58.1324,9.6733e-07,?,17.2,30.25,9.84,288,1,1.024,1,0.139003,'316204',0.361064000288025,0.81299741519615,0.240791771328077,0.487667282810435,0.673818522598594,0.338102588197216,0.928396904841065,0.881779024144635
1.261,-0.957,588.845,0.00011459,2.269e-05,330.4,74.9,15.62,384,1,1.024,1,0.0309487,'232683',0.302736831828952,0.426612431183457,0.601424377178773,0.249796047108248,0.485342972213402,0.731521371286362,0.378649512073025,0.0197264503221959
2.374,-1.6678,65.0574,2.7841e-06,5.422e-05,22.8,103.97,8.01,259,1,2.048,1,0.197561,'323898',0.0835224310867488,0.0564589602872729,0.092036042129621,0.398326598107815,0.199543632799760,0.597751901950687,0.125705431681126,0.0604725333396345
2.692,?,26.845,1.103e-06,?,15.9,187.18,9.48,455,1,4.096,1,0.151807,'295670',0.821137085556984,0.134418215136975,0.725337688345462,0.26377195189707,0.302800337783992,0.584984600078315,0.708335655275732,0.672301237471402
3.3,-1.7938,56.5312,8.9016e-07,?,37.5,6.54,8.2,231,1,1.024,0,0.110285,'232339',0.568956648232415,0.264821091899648,0.768709235358983,0.75371892284602,0.779268819605932,0.508738383185118,0.163693816168234,0.106648647692055
0.703,-0.9957,?,1.8806e-06,3.161e-05,34.2,171.04,8.68,162,1,0.512,1,0.143441,'228006',0.82882445352152,0.553175548557192,0.00552008952945471,0.701346262125298,0.519409580389038,0.811880219960585,0.380240315105766,0.342972774989903
2.69,-1.2209,?,2.8691e-06,?,70,59.5,10.63,213,1,0.512,1,0.0854879,'313087',0.719574695685878,0.572069090092555,0.964647810673341,0.934176926501095,0.908573404187337,0.169631824130192,0.630495844176039,0.400697269942611
6.29,-1.1718,322.601,1.2227e-05,0.0001329,38.4,197.2,13.26,2820,0,64,0,0.148584,'153514',0.443914121715352,0.577846403699368,0.996368021005765,0.185740703484043,0.767234306782484,0.81786256749183,0.566454149316996,0.855310428887606
3.35,-1.7132,52.9634,6.1513e-07,?,12.5,10.8,9.29,311,1,2.048,1,0.155611,'154112',0.210443585645407,0.55224962439388,0.614050599979237,0.743162968428805,0.286211767466739,0.830786030972376,0.259533771779388,0.570219071349129
1.1,-1.1896,69.0006,3.703e-06,9.997e-05,64.4,7.04,23,1450,1,1.024,1,0.0172518,'309111',0.456763003719971,0.20471490197815,0.844700771383941,0.480591767467558,0.705561270704493,0.995052033104002,0.725541127379984,0.8660400332883
2.433,-1.56,109.165,5.8812e-06,?,74.8,46.62,9.06,209,1,0.512,1,0.0953979,'309096',0.944568334380165,0.108207680750638,0.430433386005461,0.376894830958918,0.91595839546062,0.618285432923585,0.207968786358833,0.265260471962392
0.606,-0.83,81.5773,1.8614e-05,1.402e-05,339.9,9.1,18,?,1,0.064,1,0.0123453,'130088',0.799229524098337,0.673535047098994,0.087378318188712,0.530914948321879,0.290090927854180,0.406531877815723,0.372483785729855,0.887193387607113
0.4428,-0.4666,33.4456,?,8.364e-06,8.1,8.37,9.39,437,1,4.096,1,0.052543,'209755',0.0941881509497762,0.438592667225748,0.872176129370928,0.630204686429352,0.77709260606207,0.672643487108871,0.693486103555188,0.75254720938392
1.545,?,19.0219,5.8137e-08,?,8.3,2.97,?,?,?,?,1,0.0201623,'312047',0.293612801469862,0.790198148228228,0.921160221332684,0.513225349364802,0.359802767867222,0.571093928301707,0.702277343487367,0.265625874511898
0.783,-1.7367,74.3109,3.8019e-06,0.0001085,15.1,205.92,7,1260,0,64,0,0.290466,'179968',0.711454655742273,0.579981058835983,0.249894664855674,0.0318476227112114,0.08790243556723,0.646607889095321,0.302594715962186,0.127272100187838
4.045,-1.1843,?,1.0442e-06,5.761e-06,45.1,6.06,10.17,199,1,0.512,1,0.11637,'180455',0.42510596755892,0.321002600714564,0.461977985221893,0.166985225398093,0.231741097290069,0.155597092816606,0.00698580755852163,0.436400454025716
3.221,-1.8763,?,1.8464e-06,1.082e-05,23.5,295.55,9.05,179,1,0.512,1,0.181242,'211957',0.768399129854515,0.0587625314947218,0.848798550199717,0.377499508671463,0.0399748489726335,0.877959017874673,0.180256932741031,0.529887371463701
