% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 11:18:43 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.82100e+00,-1.11880e+00,?,?,?,1.91400e-05,1.95880e+00,4.20000e+01,?,?,1.60000e+01,?,5.12000e-01,yes,yes
5.91500e-01,-1.74020e+00,?,?,?,?,1.96770e+00,1.34000e+01,?,?,9.00000e+00,?,8.19200e+00,yes,no
9.37000e-01,-1.69660e+00,?,?,?,?,2.03450e+00,4.35000e+01,?,?,1.98500e+01,9.27000e+02,1.02400e+00,yes,yes
2.68000e+00,?,-2.17100e+00,?,?,1.87000e-05,2.10180e+00,6.40000e+00,?,?,6.78000e+00,3.45000e+02,4.09600e+00,yes,yes
3.78000e+00,-3.39400e-01,?,?,?,1.16300e-04,2.08160e+00,1.64000e+01,?,?,7.96000e+00,3.63000e+02,3.07200e+00,yes,yes
3.37500e+00,-1.88560e+00,?,?,?,5.13000e-05,2.22810e+00,1.24000e+01,?,?,7.12000e+00,1.01100e+03,6.40000e+01,no,yes
8.36000e-01,-1.40670e+00,?,?,?,7.48100e-05,2.03030e+00,4.81000e+01,?,?,1.00300e+01,2.01000e+02,5.12000e-01,yes,yes
3.35500e+00,-1.93930e+00,?,?,?,?,?,2.26000e+01,?,?,1.08300e+01,1.51000e+03,6.40000e+01,no,no
3.62600e+00,-1.17770e+00,?,?,?,3.03300e-05,1.52390e+00,2.68000e+01,?,?,?,?,?,?,yes
1.94900e+00,?,-2.06100e+00,?,?,1.80800e-04,2.00680e+00,4.37000e+01,?,?,8.00000e+00,?,1.02400e+00,yes,no
1.75500e+00,-5.26100e-01,?,?,?,?,2.32170e+00,1.48000e+01,?,?,9.39000e+00,2.38000e+02,1.02400e+00,yes,no
1.44000e+00,-1.21720e+00,?,?,?,1.28800e-04,1.95540e+00,4.90000e+01,?,?,9.00000e+00,?,5.12000e-01,yes,yes
1.41600e+00,-1.72420e+00,?,?,?,?,1.86810e+00,1.61000e+01,?,?,1.16800e+01,2.76300e+03,6.40000e+01,no,yes
1.63980e+00,-1.12550e+00,?,?,?,4.12600e-05,1.79510e+00,1.57500e+02,?,?,2.58200e+01,1.60400e+03,1.02400e+00,yes,yes
3.03600e+00,-1.16520e+00,?,?,?,4.24400e-05,2.16090e+00,1.23000e+02,?,?,1.78700e+01,7.41000e+02,1.02400e+00,yes,yes
5.40000e-01,-1.29380e+00,?,?,?,1.62300e-04,1.97300e+00,7.19800e+02,?,?,2.25700e+01,1.09700e+03,1.02400e+00,yes,yes
3.03800e+00,-1.31150e+00,?,?,?,9.48300e-05,2.04910e+00,4.20000e+01,?,?,1.79500e+01,6.71900e+03,1.28000e+02,no,no
1.55000e+00,-1.01600e+00,?,?,?,4.78500e-05,2.20200e+00,6.26000e+01,?,?,1.50700e+01,5.25000e+02,1.02400e+00,yes,yes
2.35200e+00,-1.52590e+00,?,?,?,2.69700e-05,2.07550e+00,2.59000e+01,?,?,1.02300e+01,4.91000e+02,3.07200e+00,yes,yes
4.90000e+00,-1.41330e+00,?,?,?,?,2.16230e+00,2.23000e+01,?,?,1.05400e+01,2.18800e+03,6.40000e+01,no,no
2.71000e+00,-1.17710e+00,?,?,?,4.76500e-05,2.39960e+00,1.72000e+01,?,?,1.10700e+01,1.02000e+03,1.21600e+01,yes,yes
8.20000e-01,-1.00400e+00,?,?,?,5.92600e-05,1.80980e+00,2.62100e+02,?,?,?,?,?,?,yes
