% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Sep  6 02:24:03 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.352e+00,-1.152e+00,1.000e+02,1.824e-06,2.590e+01,-3.000e-03,4.770e+01,4.910e+02,3.072e+00,2.087e-01,yes,yes,255445
4.900e+00,-1.413e+00,7.604e+01,4.383e-06,2.230e+01,2.700e-02,2.299e+02,2.188e+03,6.400e+01,3.083e-01,no,no,209352
8.200e-01,-1.004e+00,2.078e+02,3.337e-05,2.621e+02,2.450e-01,2.120e+01,?,?,2.026e-02,?,yes,278854
3.848e+00,-1.433e+00,3.004e+02,3.342e-06,1.600e+01,1.900e-02,1.691e+02,2.138e+03,6.400e+01,2.184e-01,no,yes,332931
2.310e+00,5.000e+00,7.077e+01,1.994e-07,8.600e+00,1.520e-01,3.550e+00,2.083e+03,6.400e+01,1.016e-01,no,yes,278693
3.910e+00,-1.474e+00,1.362e+02,1.422e-05,4.280e+01,7.200e-02,3.699e+02,2.040e+02,1.024e+00,1.753e-01,yes,no,180977
3.440e+00,-7.072e-01,5.474e+02,2.460e-06,1.580e+01,1.680e-01,3.239e+01,3.610e+02,4.096e+00,7.195e-02,yes,no,238174
3.310e-02,-8.437e-01,4.054e+01,7.854e-07,6.300e+00,3.720e-01,1.280e+02,2.111e+03,8.000e+01,2.715e-01,no,yes,191157
6.960e-01,-6.803e-01,4.493e+01,1.285e-06,1.370e+01,-7.900e-02,1.132e+02,1.837e+03,8.800e+01,2.169e-01,no,yes,359951
2.512e+00,-5.208e-01,1.822e+02,7.885e-06,2.440e+01,2.600e-02,1.938e+01,2.410e+02,4.096e+00,8.966e-02,yes,yes,335105
